t,count
1621854103,5
1621854240,6
1621854273,7
1621854290,8
1621854299,9
1621854370,10
1621854375,11
1621854378,12
1621854404,13
1621854421,14
1621854463,15
1621854467,15
1621854476,16
1621854510,17
1621854527,18
1621854542,19
1621854561,20
1621854595,21
1621854664,22
1621854700,23
1621854767,24
1621854779,25
1621854781,26
1621855367,26
1621856267,26
1621857167,26
1621857304,25
1621857664,24
1621858522,24
1621859681,23
1621859723,24
1621859815,25
1621859843,26
1621859846,26
1621860805,25
1621860809,24
1621860814,23
1621860860,22
1621860872,21
1621860899,20
1621860908,19
1621860922,18
1621860930,17
1621860959,16
1621860967,15
1621860976,14
1621860991,13
1621860998,12
1621861023,11
1621861029,10
1621861037,9
1621861049,8
1621861056,7
1621861059,6
1621861063,5
1621861087,4
1621861089,3
1621861094,2
1621861105,1
1621861167,0
1621861284,1
1621861315,2
1621861330,3
1621861352,4
1621861366,5
1621861396,6
1621861405,7
1621861406,8
1621861415,9
1621861440,10
1621861474,11
1621861475,12
1621861488,13
1621861538,14
1621861543,15
1621861595,16
1621861610,17
1621861621,18
1621861667,19
1621861773,20
1621861799,21
1621861813,22
1621861827,23
1621861863,24
1621861868,24
1621861920,25
1621861939,26
1621861951,27
1621861989,28
1621862010,29
1621862011,30
1621863576,29
1621863645,28
1621864573,27
1621867836,26
1621867838,25
1621867839,24
1621867844,23
1621867884,22
1621867907,21
1621867932,20
1621867977,19
1621867982,18
1621867995,17
1621868015,16
1621868047,15
1621868100,14
1621868126,13
1621868133,12
1621868167,11
1621868192,10
1621868194,9
1621868207,8
1621868259,7
1621868281,6
1621868286,5
1621868300,4
1621868307,3
1621868312,2
1621868324,1
1621868349,0
1621868359,0
1621868471,1
1621868473,2
1621868494,3
1621868498,4
1621868503,5
1621868538,6
1621868636,7
1621868642,8
1621868654,9
1621868687,10
1621868697,11
1621868727,12
1621868746,13
1621868748,14
1621868779,15
1621868792,16
1621868793,17
1621868800,18
1621868805,19
1621868807,20
1621868823,21
1621868825,22
1621868831,23
1621868870,24
1621868892,25
1621868893,26
1621868899,27
1621870852,26
1621871075,26
1621872904,25
1621874241,26
1621874262,27
1621874734,26
1621874799,25
1621874800,24
1621874804,23
1621874807,22
1621874812,21
1621874874,20
1621874879,19
1621874893,18
1621874903,17
1621874911,16
1621874927,15
1621874934,14
1621875002,13
1621875076,12
1621875157,11
1621875167,10
1621875170,9
1621875234,8
1621875285,7
1621875290,6
1621875297,5
1621875326,4
1621875391,3
1621875406,2
1621875424,1
1621875471,0
1621875478,0
1621875533,0
1621875573,0
1621875581,0
1621875598,0
1621876628,0
1621882908,0
1621890445,0
1621896566,0
1621900213,0
1621901113,0
1621902013,0
1621902913,0
1621903813,0
1621904713,0
1621905614,0
1621906514,0
1621907414,0
1621908314,0
1621909214,0
1621910114,0
1621911014,0
1621911948,0
1621916765,0
1621923050,0
1621927807,0
1621933205,1
